,Course_Name,Company,Degree,Score,Reviews,Skills,Level/Cert/Time,IsFree,Course_Url
0,Google Data Analytics,Google,Make progress toward a degree,4.8,(143K reviews),"Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",Beginner / Professional Certificate / 3 - 6 Months,,https://www.coursera.org/professional-certificates/google-data-analytics
1,IBM Data Science,IBM,Make progress toward a degree,4.6,(124K reviews),"Python Programming, Data Science, Machine Learning, Data Analysis, Algorithms, Data Management, Data Visualization, Human Learning, R Programming, Computer Programming, Data Structures, Database Application, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), Professional Development, SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",Beginner / Professional Certificate / 3 - 6 Months,,https://www.coursera.org/professional-certificates/ibm-data-science
2,IBM Data Analyst,IBM,Make progress toward a degree,4.6,(75K reviews),"Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Data Management, Data Structures, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Computer Programming, Database Application, Professional Development, Statistical Visualization, Big Data, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression",Beginner / Professional Certificate / 3 - 6 Months,,https://www.coursera.org/professional-certificates/ibm-data-analyst
3,Machine Learning,"DeepLearning.AI, Stanford University",,4.9,(22K reviews),"Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Python Programming, Regression, Statistical Machine Learning, Mathematics, Tensorflow, Critical Thinking, Network Model, Network Architecture, Reinforcement Learning",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/machine-learning-introduction
4,IBM Applied AI,IBM,Make progress toward a degree,4.6,(49K reviews),"Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Natural Language Processing, Algorithms, Applied Machine Learning, Machine Learning Software, Computer Programming, Application Development, Cloud API, Cloud Applications, Computer Programming Tools, Human Computer Interaction, Software Engineering Tools, Visualization (Computer Graphics), Software Engineering, Computational Thinking, Communication, User Experience Design, Interactive Data Visualization, Data Analysis, Programming Principles, Software Architecture, Agile Software Development, Web Development, Product Management, Software Testing, Technical Product Management, Javascript, Data Science",Beginner / Professional Certificate / 3 - 6 Months,,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
5,Introduction to Data Science,IBM,Make progress toward a degree,4.6,(88K reviews),"Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Data Structures, Database Application, Databases, Professional Development, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/introduction-data-science
6,Data Science Fundamentals with Python and SQL,IBM,Make progress toward a degree,4.6,(62K reviews),"Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, R Programming, Data Management, Data Structures, Database Application, Databases, Professional Development, SQL, Cloud Computing, IBM Cloud",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
7,IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,,4.7,(32K reviews),"Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Big Data, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Structures, Market Analysis, Computational Thinking, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/digital-strategy
8,Applied Data Science,IBM,Make progress toward a degree,4.6,(51K reviews),"Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/applied-data-science
9,IBM AI Foundations for Business,IBM,,4.7,(80K reviews),"Machine Learning, Data Analysis, Deep Learning, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Computational Thinking, Business Analysis, Business Transformation, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/ibm-ai-foundations-for-business
10,IBM Data Analytics with Excel and R,IBM,Make progress toward a degree,4.7,(22K reviews),"Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Data Model, Database Administration, Computer Programming Tools, Correlation And Dependence, Data Mining, Data Visualization Software, Visual Design, Business Analysis, Statistical Tests, Python Programming, Big Data, Data Science, NoSQL",Beginner / Professional Certificate / 3 - 6 Months,,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel
11,Data Analysis and Visualization Foundations,IBM,Make progress toward a degree,4.7,(21K reviews),"Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Data Structures, Databases, Python Programming, SQL, Statistical Visualization, Big Data, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/data-analysis-visualization-foundations
12,Deep Learning,DeepLearning.AI,Make progress toward a degree,4.8,(143K reviews),"Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",Intermediate / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/deep-learning
13,AI Foundations for Everyone,IBM,,4.7,(14K reviews),"Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Computational Thinking, Interactive Data Visualization, Computer Programming, Data Science",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/ai-foundations-for-everyone
14,Prompt Engineering,Vanderbilt University,,4.8,(2.8K reviews),"Creativity, Data Analysis, Leadership and Management, Problem Solving, Writing",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/prompt-engineering
15,Google Advanced Data Analytics,Google,Make progress toward a degree,4.7,(3.2K reviews),"Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",Advanced / Professional Certificate / 3 - 6 Months,,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
16,Generative AI Fundamentals,IBM,,4.7,(576 reviews),"Artificial Neural Networks, Business Transformation, Machine Learning",Beginner / Specialization / 3 - 6 Months,,https://www.coursera.org/specializations/generative-ai-for-everyone
