Kod wojewdztwa,Kod powiatu,Kod gminy,Wojewdztwo,Powiat,Gmina,Typ gminy,Nazwa formularza,Liczba podatnikw,Kwota przychodu                   w tys zotych,Kwota dochodu w tys zotych,Kwota dochodu do opodatkowania                  w tys zotych,Podatek naleny                  w tys zotych
2,1,11,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GM,PIT28,2003,213808,0,0,15294
2,1,11,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GM,PIT36,2424,363747,134900,122376,8308
2,1,11,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GM,PIT36L,543,1472576,150582,144913,27533
2,1,11,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GM,PIT37,20322,1051128,1009237,911971,49100
2,1,11,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GM,PIT38,366,40809,3059,2797,530
2,1,11,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GM,PIT39,114,23866,11740,765,145
2,1,11,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GM,PIT40A,4013,87088,87088,87077,13
2,1,22,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GW,PIT28,890,142596,0,0,9051
2,1,22,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GW,PIT36,1092,173843,60440,53891,3634
2,1,22,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GW,PIT36L,264,898423,85484,82125,15604
2,1,22,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GW,PIT37,6911,341648,325873,288573,15284
2,1,22,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GW,PIT38,102,48738,394,314,60
2,1,22,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GW,PIT39,39,10834,6692,99,19
2,1,22,DOLNOLSKIE,BOLESAWIECKI,BOLESAWIEC,GW,PIT40A,1273,24684,24684,24684,0
2,1,32,DOLNOLSKIE,BOLESAWIECKI,GROMADKA,GW,PIT28,180,19554,0,0,1313
